"time","ratio","lower_ci","upper_ci","lower_env","upper_env"
0,0.99836867862969,0.995179062513856,1.00156851768062,0.99673735725938,1.0082304526749
1,1.00679373077002,0.994706853182747,1.01902747837166,0.993409352727629,1.01081506365387
2,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
3,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
4,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
5,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
6,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
7,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
8,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
9,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
10,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
11,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
12,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
13,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
14,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
15,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
16,1.01105980590041,0.996357941549402,1.02597860515641,0.991750887845062,1.01093441762941
17,1.01551381385591,0.998402438388926,1.03291845700647,0.990086009219556,1.01344789780646
18,1.01551381385591,0.998402438388926,1.03291845700647,0.990086009219556,1.01344789780646
19,1.01551381385591,0.998402438388926,1.03291845700647,0.990086009219556,1.01344789780646
20,1.01551381385591,0.998402438388926,1.03291845700647,0.990086009219556,1.01344789780646
21,1.01551381385591,0.998402438388926,1.03291845700647,0.990086009219556,1.01344789780646
22,1.01551381385591,0.998402438388926,1.03291845700647,0.990086009219556,1.01344789780646
23,1.01551381385591,0.998402438388926,1.03291845700647,0.990086009219556,1.01344789780646
24,1.01551381385591,0.998402438388926,1.03291845700647,0.990086009219556,1.01344789780646
25,1.01551381385591,0.998402438388926,1.03291845700647,0.990086009219556,1.01344789780646
26,1.01376894475994,0.996357086897815,1.03148508388649,0.98998989122906,1.01358888471833
27,1.01376894475994,0.996357086897815,1.03148508388649,0.98998989122906,1.01358888471833
28,1.01376894475994,0.996357086897815,1.03148508388649,0.98998989122906,1.01358888471833
29,1.01376894475994,0.996357086897815,1.03148508388649,0.98998989122906,1.01358888471833
30,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
31,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
32,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
33,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
34,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
35,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
36,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
37,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
38,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
39,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
40,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
41,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
42,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
43,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
44,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
45,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
46,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
47,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
48,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
49,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
50,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
51,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
52,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
53,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
54,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
55,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
56,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
57,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
58,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
59,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
60,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
61,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
62,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
63,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
64,1.01650205829965,0.996715216900246,1.03668170908525,0.988262084688042,1.01604631963937
